test_network,n_test,n_high,balanced_acc,avg_precision,recall,precision,TP,FP,FN,TN
email-Eu-core,75,11,0.5,0.16438411201569095,1.0,0.14666666666666667,11,64,0,0
CollegeMsg,59,42,0.5763305322128851,0.9642363712899084,0.9761904761904762,0.7454545454545455,41,14,1,3
