N,E,density,deg_mean,deg_cv,clustering,modularity,K_louvain,size_cv,K_per_N,graph,source,k_distinct_norm
500,2460,0.01971943887775551,9.84,0.3079519831954255,0.028541877025623153,0.33097858417608567,7,0.32712077280417395,0.014,SBM_pin0.06_pout0.01,sbm,1.0
500,3430,0.02749498997995992,13.72,0.27509725790114387,0.03274771577245934,0.24096481908048514,11,0.4993355585175163,0.022,SBM_pin0.06_pout0.02,sbm,1.0
498,1452,0.011733048895784345,5.831325301204819,0.3883418222965531,0.015727077474065425,0.4189018756308388,11,0.5141581851694906,0.02208835341365462,SBM_pin0.04_pout0.005,sbm,1.0
500,1957,0.015687374749498998,7.828,0.3467187302179655,0.015935811574046867,0.32894834757192776,12,0.25892083732291615,0.024,SBM_pin0.04_pout0.01,sbm,1.0
500,2940,0.023567134268537075,11.76,0.2931195344942945,0.025920612822961726,0.2536282336063677,11,0.28979993098687934,0.022,SBM_pin0.04_pout0.02,sbm,1.0
498,1232,0.009955314214604898,4.947791164658635,0.4364808141699608,0.007423589351300195,0.44930505776690843,15,0.243510637727804,0.030120481927710843,SBM_pin0.03_pout0.005,sbm,1.0
499,1733,0.013947573862584607,6.945891783567134,0.3625002548211162,0.013892965195570406,0.3531681433255341,15,0.35710725597038456,0.03006012024048096,SBM_pin0.03_pout0.01,sbm,1.0
500,2726,0.021851703406813628,10.904,0.30342924155999895,0.02257155635976473,0.27276460367246946,10,0.49022443839531293,0.02,SBM_pin0.03_pout0.02,sbm,1.0
300,299,0.006666666666666667,1.9933333333333334,1.6839024813823813,0.0,0.8537935817272736,18,0.7310266752998825,0.06,BA_n300_m1,ba,0.06
300,596,0.013288740245261985,3.973333333333333,1.2998039614776726,0.09061262208313102,0.5017341561190938,12,0.4220584477691844,0.04,BA_n300_m2,ba,1.0
300,891,0.019866220735785953,5.94,1.0467951557132689,0.07280530776358606,0.37202112155348216,13,0.3226969682741586,0.043333333333333335,BA_n300_m3,ba,1.0
300,1475,0.03288740245261984,9.833333333333334,0.9705991065740144,0.11016909719357383,0.2660791726515369,9,0.27055498516937365,0.03,BA_n300_m5,ba,1.0
300,2336,0.05208472686733556,15.573333333333334,0.7582982744193918,0.1273408598551214,0.21148405613740856,9,0.2939387691339813,0.03,BA_n300_m8,ba,1.0
300,3456,0.07705685618729097,23.04,0.6317826569710775,0.14317586000984495,0.1640574346681027,8,0.38482319172431495,0.02666666666666667,BA_n300_m12,ba,1.0
500,499,0.004,1.996,1.778097261955149,0.0,0.881319753735929,27,0.8357080830050646,0.054,BA_n500_m1,ba,0.06
500,996,0.007983967935871743,3.984,1.3310254255303808,0.06174010922221852,0.5152074160094192,16,0.3897075826821952,0.032,BA_n500_m2,ba,1.0
500,1491,0.01195190380761523,5.964,1.1489031483681242,0.055927757322361105,0.38376694326477534,13,0.31525227992831395,0.026,BA_n500_m3,ba,1.0
500,2475,0.019839679358717433,9.9,1.0355481462824672,0.07899976668124062,0.2752901948780737,11,0.4999519976957788,0.022,BA_n500_m5,ba,1.0
500,3936,0.03155110220440882,15.744,0.8417820862495922,0.08741972536681625,0.2099437351795393,10,0.5117812032499827,0.02,BA_n500_m8,ba,1.0
500,5856,0.04694188376753507,23.424,0.7125428135709312,0.10036018799250139,0.16532568296679506,8,0.19332873557751315,0.016,BA_n500_m12,ba,1.0
800,799,0.0025,1.9975,1.8546812851321322,0.0,0.9055523095985126,36,0.8539540385758475,0.045,BA_n800_m1,ba,0.8
800,1596,0.004993742177722153,3.99,1.3464012782349288,0.040185226418826936,0.5208031042518576,21,0.46837818587120394,0.02625,BA_n800_m2,ba,1.0
800,2391,0.007481226533166458,5.9775,1.1856295303792985,0.03911000624084402,0.38895221012996417,14,0.3227421571471567,0.0175,BA_n800_m3,ba,1.0
800,3975,0.012437421777221527,9.9375,1.0908779196120038,0.05567218683697778,0.2813161504687315,10,0.40404207701673844,0.0125,BA_n800_m5,ba,1.0
800,6336,0.019824780976220275,15.84,0.8979403489193057,0.060745401492608785,0.21532738557848052,10,0.47013960692543233,0.0125,BA_n800_m8,ba,1.0
800,9456,0.029586983729662078,23.64,0.7913464046367025,0.0741331380527175,0.16852278994205241,11,0.5008711161566416,0.01375,BA_n800_m12,ba,1.0
60,477,0.26949152542372884,15.9,0.15435522125115275,0.39017569605030905,0.3843795735928167,2,0.0,0.03333333333333333,PP_k2_n30,pp,0.02
100,1342,0.27111111111111114,26.84,0.14675232169440855,0.4038273548589813,0.3949104479600925,2,0.0,0.02,PP_k2_n50,pp,0.02
160,3439,0.2703616352201258,42.9875,0.11144168697526932,0.4213121454376611,0.4092637342167791,2,0.0,0.0125,PP_k2_n80,pp,0.02
90,768,0.19176029962546817,17.066666666666666,0.17960256144644765,0.35102602475306294,0.4904878404405382,3,0.0,0.03333333333333333,PP_k3_n30,pp,0.02
150,2161,0.19337807606263982,28.813333333333333,0.14199224334303653,0.35450519568120925,0.49495794468471743,3,0.0,0.02,PP_k3_n50,pp,0.02
240,5723,0.19954672245467225,47.69166666666667,0.11109411716473952,0.36846841546350245,0.49505735842652987,3,0.0,0.0125,PP_k3_n80,pp,0.02
150,1508,0.13494407158836688,20.106666666666666,0.17085862588464695,0.2712810823744592,0.5020966868126843,5,0.0,0.03333333333333333,PP_k5_n30,pp,0.02
250,4333,0.13921285140562248,34.664,0.12872680623593907,0.2801049840313853,0.5043412240679559,5,0.0,0.02,PP_k5_n50,pp,0.02
400,11161,0.1398621553884712,55.805,0.10648486673248218,0.28490688325953906,0.5052281598245507,5,0.0,0.0125,PP_k5_n80,pp,0.02
240,3013,0.1050557880055788,25.108333333333334,0.17163535098559754,0.20925516160216684,0.4501115257933621,8,0.0,0.03333333333333333,PP_k8_n30,pp,0.02
400,8499,0.10650375939849624,42.495,0.12387402048930868,0.21153451067312723,0.4532846489376788,8,0.0,0.02,PP_k8_n50,pp,0.06
640,21520,0.10524256651017215,67.25,0.10203766879381627,0.21800953429614692,0.46322934013142436,8,0.0,0.0125,PP_k8_n80,pp,0.04
300,4241,0.09455964325529542,28.273333333333333,0.1474452064511263,0.17738905111839792,0.41065788595080827,10,0.0,0.03333333333333333,PP_k10_n30,pp,0.14
500,11867,0.09512625250501001,47.468,0.12112411797649798,0.18127339721879718,0.415936835927712,10,0.0,0.02,PP_k10_n50,pp,0.16
800,30314,0.09484981226533166,75.785,0.1005578829536159,0.1862098611661058,0.4237688553893322,10,0.0,0.0125,PP_k10_n80,pp,0.08
450,8154,0.08071269487750557,36.24,0.14338216140599103,0.13849662301671045,0.3415527313346123,15,0.0,0.03333333333333333,PP_k15_n30,pp,0.3
750,22305,0.07941255006675567,59.48,0.1136748575932298,0.13680062962453465,0.3444868996143368,15,0.0,0.02,PP_k15_n50,pp,0.38
1200,57132,0.07941618015012511,95.22,0.08915255981215987,0.13712659516425257,0.3435726414226433,14,0.2403700850309326,0.011666666666666667,PP_k15_n80,pp,0.38
600,12924,0.07191986644407346,43.08,0.13666620585130965,0.10968878259565579,0.28189968954996386,18,0.28284271247461895,0.03,PP_k20_n30,pp,0.74
1000,36117,0.0723063063063063,72.234,0.10370108104622576,0.1131182622415312,0.29017585523013817,19,0.21213203435596428,0.019,PP_k20_n50,pp,0.76
1600,92469,0.07228658536585365,115.58625,0.08641487448139362,0.11326756791251417,0.2896379991331379,18,0.282842712474619,0.01125,PP_k20_n80,pp,0.7
