snapshot,t_start,N,E,density,deg_cv,clustering,modularity,size_cv,K_louvain,k_distinct_norm,nmi_structural_change,prediction
27,16329600,705,3613,0.014559155383623469,1.1247412832562649,0.3148658851983984,0.5660808767184404,0.40939128874763514,11,1.0,0.730341984387061,intermediate
28,16934400,712,3919,0.01548301964316756,1.136666653415168,0.3217386965025994,0.5573305663206338,0.532383039308035,11,1.0,0.7767525136289026,intermediate
29,17539200,713,3961,0.015605055391840143,1.125506069304115,0.3215861557298755,0.5454751614150617,0.5383228309936001,10,1.0,0.8052326826754966,intermediate
30,18144000,717,4096,0.015957239584550774,1.1155817189088932,0.3295458252793247,0.5319685637950897,0.4224836565181856,10,1.0,0.7443982326161035,intermediate
31,18748800,723,4133,0.015835067029880884,1.121798580636752,0.3427785963274529,0.5349003544087473,0.508153365042483,12,1.0,0.7146826885715942,intermediate
32,19353600,720,4001,0.015457425436563128,1.132215262960051,0.33492501865948937,0.544940995443466,0.5305482838361476,12,1.0,0.8303555919004924,intermediate
33,19958400,715,3917,0.01534543887485064,1.10049820242187,0.3439335452010058,0.5542754040650363,0.46530356615358204,9,1.0,0.7524196635161073,intermediate
34,20563200,697,3753,0.01547271557908277,1.0862656760378715,0.33794502091228773,0.5544997166845971,0.6229577705821344,12,1.0,0.7075360503260891,intermediate
35,21168000,679,3352,0.014562453026096853,1.073954292997998,0.32397891735489476,0.5679128710960862,0.6993674648972857,11,1.0,0.6699987623480728,intermediate
36,21772800,676,3095,0.01356563664255972,1.0602748628456566,0.31179490463505444,0.5979967689822293,0.4846204419905027,11,1.0,0.7035268181438467,intermediate
37,22377600,672,2861,0.012689837484919453,1.054346917991975,0.2969149561555616,0.6063574660053039,0.5634204487244107,12,1.0,0.7225538753832493,intermediate
38,22982400,664,2591,0.01177106616511294,1.063243769383801,0.2849728488006159,0.6210633071965853,0.5847059761375725,13,1.0,0.7279607634926762,intermediate
39,23587200,651,2469,0.011669620701878767,1.039199120753612,0.29639655177495616,0.6250884807169862,0.4714195369417092,13,1.0,0.7803231795633593,intermediate
40,24192000,660,2570,0.011817721984641559,1.0742675553516257,0.3122531130313021,0.6149077200260413,0.46116891447360986,13,1.0,0.7104627930175063,intermediate
41,24796800,668,2781,0.01248327931842462,1.056752552451637,0.3103232408529215,0.6104211024596581,0.6037779810550982,13,1.0,0.7161033529525777,intermediate
42,25401600,668,3131,0.014054350070473745,1.0600270077138085,0.31392247836180076,0.5834622118314695,0.7154623727541964,12,1.0,0.7778099749694393,intermediate
43,26006400,672,3404,0.015098289688453623,1.0534971483436935,0.31971707031133073,0.5670292587969362,0.5895111401438836,11,1.0,0.7954809525241802,intermediate
44,26611200,688,3675,0.015550421448156798,1.0530607674593395,0.3257071338829043,0.5660287472812253,0.5005911864639515,12,1.0,0.7157413163110963,intermediate
45,27216000,697,3845,0.015852009432873234,1.0893800714886837,0.3189303247652157,0.5446263111703341,0.4498299822385295,11,1.0,0.7253996623944543,intermediate
46,27820800,700,3952,0.016153688943388513,1.0839265837643104,0.3210769063936113,0.5414163727380388,0.5026013960041358,11,1.0,0.6784559890584332,intermediate
47,28425600,706,4025,0.01617342736021538,1.0906002600058031,0.3241350325099477,0.5349334362100229,0.550596288419551,10,1.0,0.6590875511106593,intermediate
48,29030400,711,4054,0.016061488480814564,1.119044849191898,0.32361297214211215,0.5340216220149832,0.36047630649458695,10,1.0,0.6582274207255036,intermediate
49,29635200,718,4123,0.016017684331573447,1.1275747897744597,0.32833709615114864,0.53596048950508,0.507063261231902,9,1.0,0.6718094124382799,intermediate
50,30240000,719,4098,0.0158762750802918,1.111639710476055,0.33449177139924385,0.5615764489861736,0.5296634842639089,11,1.0,0.6719330597163052,intermediate
51,30844800,734,4114,0.01529305493083926,1.110233396103762,0.3255239808618585,0.5478076627019587,0.6660606748684027,12,1.0,0.7866522856207351,intermediate
52,31449600,735,4072,0.015095738567906726,1.070678572992606,0.3358218669755501,0.5701935398581911,0.5472060808200052,11,1.0,0.7406608556727758,intermediate
53,32054400,734,3748,0.013932515770730566,1.066485194913188,0.32091979175650737,0.5727698671593188,0.6156772072111121,13,1.0,0.7569320170726589,intermediate
54,32659200,719,3290,0.012745960227955107,1.0547549328303376,0.29737520709591553,0.5855537642852523,0.5425038271989692,12,1.0,0.7417058874487542,intermediate
55,33264000,692,2828,0.011828379746200112,1.0487830727428664,0.30130806679448635,0.6142759488365487,0.5241343623829667,12,1.0,0.7670180039890778,intermediate
56,33868800,628,1968,0.009996038155609057,1.1346768854805247,0.2535650504167015,0.6145680997587415,0.41815662578776697,12,1.0,0.6534792558966714,intermediate
57,34473600,682,2589,0.011148862505974912,1.095267427102296,0.28378783437203603,0.610311981895654,0.6695856610424883,13,1.0,0.6078931679349371,intermediate
58,35078400,718,3029,0.011767539616865382,1.0865208180979715,0.28925436873972504,0.6046895526581878,0.47536106398554256,12,1.0,0.7318775967593375,intermediate
59,35683200,735,3310,0.012270848393853454,1.0831968067059796,0.2886702171363276,0.5905198930276285,0.6024246441631049,13,1.0,0.7439638757219328,intermediate
60,36288000,766,4126,0.014082151572552432,1.0949389794890914,0.3048598266950882,0.5742916008081824,0.5040652386568377,12,1.0,0.7816713050126174,intermediate
61,36892800,777,4345,0.014412424206238639,1.089367613984351,0.31412647874452615,0.5770228865102938,0.5029047074794953,12,1.0,0.8032809056678986,intermediate
62,37497600,748,4068,0.014560917466658076,1.0517452073084017,0.3115962866818871,0.5909858426900024,0.5541665587121062,12,1.0,0.7942972626223157,intermediate
63,38102400,751,4543,0.016131380381713273,1.0460152185369458,0.3309933256016124,0.5783806548514406,0.6246170597826356,12,1.0,0.8208872925762688,intermediate
64,38707200,744,4344,0.015716580558329352,1.0340526598733872,0.3427809768335034,0.5815383732435924,0.6975379127939544,12,1.0,0.8239956374760906,intermediate
65,39312000,748,4297,0.015380595465641533,1.0440952119533624,0.33976068196827897,0.5822318735668557,0.6109025936232332,12,1.0,0.793158946384565,intermediate
66,39916800,749,4503,0.016074909148026246,1.0899325628170906,0.33406571931379087,0.5507543543527549,0.5465916124474262,11,1.0,0.7750244332880497,intermediate
67,40521600,758,4581,0.015967069009386447,1.0962121160747023,0.341688960089967,0.5652221782396001,0.3783221623664204,10,1.0,0.765275169690037,intermediate
68,41126400,763,4583,0.015765231180964765,1.1006363173447269,0.34063379208629974,0.5579375800357733,0.5051927396983815,10,1.0,0.8532074247884129,intermediate
69,41731200,767,4731,0.016104928836707392,1.099765571484427,0.35368327280538603,0.5445377277222899,0.5972441152839559,12,1.0,0.7553566225349024,intermediate
70,42336000,764,4574,0.01569308255508361,1.0676900383426688,0.33350359068985674,0.555288140282263,0.410352317434266,12,1.0,0.7653900319798099,intermediate
71,42940800,758,4255,0.014830796471281235,1.0695305916235165,0.32432477958156797,0.5661377711436466,0.43905441316159055,11,1.0,0.7614045292972518,intermediate
72,43545600,740,3769,0.013784149508100793,1.067589057523791,0.30565979346330985,0.5758676953017948,0.556267825200067,11,1.0,0.7713237218098876,intermediate
73,44150400,713,3027,0.011925398301211844,1.080745360782392,0.30480605043883624,0.592723576131085,0.4208975923406544,13,1.0,0.7427969510645248,intermediate
74,44755200,639,1963,0.009630054797611864,1.0541981524244868,0.25788530622973754,0.6537721925930271,0.42924596186520697,15,1.0,0.6988480172429056,intermediate
75,66528000,232,289,0.010785191819674578,0.9158967582673802,0.08799208102580314,0.7823780845535853,0.49334151475256877,13,0.98,0.4914020890571706,intermediate
